Location.Country,Location.Region,Location.Altitude.Min,Location.Altitude.Max,Location.Altitude.Average,Year,Data.Owner,Data.Type.Species,Data.Type.Variety,Data.Type.Processing method,Data.Production.Number of bags,Data.Production.Bag weight,Data.Scores.Aroma,Data.Scores.Flavor,Data.Scores.Aftertaste,Data.Scores.Acidity,Data.Scores.Body,Data.Scores.Balance,Data.Scores.Uniformity,Data.Scores.Sweetness,Data.Scores.Moisture,Data.Scores.Total,Data.Color
Brazil,south of minas,1250,1250,1250,2011,nucoffee,Arabica,Bourbon,Natural / Dry,3,60.0,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,0.12,86.92,Green
Brazil,vale da grama,1300,1300,1300,2011,nucoffee,Arabica,Bourbon,Natural / Dry,29,60.0,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,0.12,86.42,Green
Brazil,south of minas,1250,1250,1250,2011,nucoffee,Arabica,Bourbon,Semi-washed / Semi-pulped,7,60.0,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,0.11,86.08,Blue-Green
Brazil,south of minas,1250,1250,1250,2011,nucoffee,Arabica,Bourbon,Semi-washed / Semi-pulped,5,60.0,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,0.11,85.42,Blue-Green
Brazil,south of minas,1200,1200,1200,2011,nucoffee,Arabica,Bourbon,Natural / Dry,4,60.0,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,0.11,84.92,Green
Brazil,south of minas,1000,1000,1000,2011,nucoffee,Arabica,Catuai,Natural / Dry,10,60.0,8.0,8.0,7.75,8.0,7.5,7.75,10.0,10.0,0.12,84.92,Green
Brazil,vale da grama,1300,1300,1300,2011,nucoffee,Arabica,Bourbon,Semi-washed / Semi-pulped,37,60.0,8.0,8.0,7.75,7.75,7.58,7.75,10.0,10.0,0.12,84.58,Green
Brazil,mountains of minas gerais,1100,1100,1100,2011,nucoffee,Arabica,Catuai,Semi-washed / Semi-pulped,35,60.0,8.5,8.0,7.5,7.75,7.5,7.83,10.0,10.0,0.11,84.58,Blue-Green
Colombia,la plata,1600,1950,1775,2011,racafe & cia s.c.a,Arabica,Caturra,Washed / Wet,121,1.0,7.67,7.67,7.58,7.5,7.67,7.42,10.0,10.0,0.12,83.0,Bluish-Green
Colombia,huila,1750,1750,1750,2011,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.33,7.58,7.17,7.58,7.42,7.58,10.0,10.0,0.0,82.42,Green
Colombia,huila,1750,1750,1750,2011,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.33,7.42,7.33,7.33,7.5,7.67,10.0,10.0,0.0,81.75,Green
Colombia,huila,1750,1750,1750,2011,exportadora de cafe condor s.a,Arabica,Caturra,Natural / Dry,250,70.0,7.5,7.42,7.25,7.17,7.17,7.75,10.0,10.0,0.11,81.42,Green
Thailand,chiang rai,1300,1300,1300,2012,itdp international,Arabica,Caturra,Washed / Wet,53,1.0,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,0.1,86.17,Green
Guatemala,acatenango,1524,1524,1524,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,150,1.0,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,0.12,85.83,Green
Guatemala,nuevo oriente,1417,1417,1417,2012,juan luis alvarado romero,Arabica,Catuai,Washed / Wet,275,1.0,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,0.1,85.83,Bluish-Green
El Salvador,"ataco, apaneca - ilamatepec mountain range",1300,1400,1350,2012,lusso lab,Arabica,Bourbon,Semi-washed / Semi-pulped,19,1.0,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,0.11,85.58,
Guatemala,huehuetenango,1400,1400,1400,2012,the coffee source inc.,Arabica,Caturra,Washed / Wet,250,1.0,8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,0.0,85.17,Unknown
Colombia,cundinamarca,2136,2136,2136,2012,carcafe ltda ci,Arabica,Caturra,Natural / Dry,250,70.0,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,0.11,85.08,Green
Colombia,huila,1600,1950,1775,2012,racafe & cia s.c.a,Arabica,Caturra,Washed / Wet,50,70.0,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,0.11,84.92,Green
Mexico,coatepec,1200,1200,1200,2012,artemio zapata tejeda,Arabica,Typica,Semi-washed / Semi-pulped,25,1.0,7.75,8.0,7.75,7.83,7.5,7.92,10.0,10.0,0.11,84.92,Unknown
Guatemala,oriente,1310,1310,1310,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,1.0,8.0,7.83,7.67,7.83,7.67,8.0,10.0,10.0,0.11,84.67,Green
Guatemala,acatenango,1524,1524,1524,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,125,1.0,7.67,7.83,7.67,8.0,7.67,7.83,10.0,10.0,0.12,84.67,Green
Mexico,el remudadero,1200,1200,1200,2012,organizaciones de productores de cafe colimense,Arabica,Typica,Washed / Wet,80,1.0,7.83,7.58,7.67,7.92,7.92,7.83,10.0,10.0,0.13,84.67,Unknown
Colombia,huila,1750,1750,1750,2012,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.67,7.83,7.83,8.0,7.58,7.92,10.0,10.0,0.0,84.58,Green
Costa Rica,tres rios,1450,1700,1575,2012,lusso lab,Arabica,Bourbon,Semi-washed / Semi-pulped,1,1.0,7.75,7.83,7.75,8.0,7.83,7.67,10.0,10.0,0.12,84.58,Bluish-Green
Colombia,huila,1800,1800,1800,2012,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.42,7.67,7.75,7.75,8.08,7.83,10.0,10.0,0.11,84.58,Green
Mexico,hustusco,1350,1350,1350,2012,maria imelda uscanga martinez,Arabica,Typica,Washed / Wet,56,1.0,8.0,7.92,7.42,8.08,7.5,7.67,10.0,10.0,0.12,84.5,Green
Mexico,jaltenango,1500,1500,1500,2012,alfredo bojalil,Arabica,Typica,Washed / Wet,250,1.0,7.92,7.83,7.75,7.75,7.75,7.83,10.0,10.0,0.11,84.5,Unknown
Guatemala,"el tumbador, san marcos",0,0,0,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,69.0,7.67,8.0,7.67,8.0,7.5,7.83,10.0,10.0,0.11,84.5,Green
Taiwan,"mountain ali, taiwan",1200,1200,1200,2012,kao ming lee,Arabica,Typica,Washed / Wet,2,2.0,7.83,7.83,7.75,8.0,7.5,7.75,10.0,10.0,0.11,84.42,Blue-Green
Mexico,tuxtla gutierrez,1700,1700,1700,2012,victor hugo melchor cordova,Arabica,Typica,Washed / Wet,100,80.0,8.0,7.75,7.75,7.83,7.5,7.67,10.0,10.0,0.12,84.33,Blue-Green
Mexico,veracruz,1170,1170,1170,2012,manuel herrera juarez,Arabica,Bourbon,Washed / Wet,20,1.0,7.83,7.83,7.75,7.67,7.83,7.58,10.0,10.0,0.12,84.25,Green
Mexico,"la concordia, chiapas",1400,1400,1400,2012,alfredo bojalil,Arabica,Bourbon,Washed / Wet,250,1.0,7.83,7.92,7.67,7.75,7.5,7.75,10.0,10.0,0.1,84.25,Bluish-Green
Colombia,huila,1750,1750,1750,2012,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.75,7.75,7.75,7.75,7.83,7.75,10.0,10.0,0.0,84.17,Green
Guatemala,guatemala,0,0,0,2012,juan luis alvarado romero,Arabica,Catuai,Natural / Dry,275,1.0,7.83,7.5,7.5,8.0,7.83,7.83,10.0,10.0,0.11,84.17,Bluish-Green
Mexico,santo domingo cacalotepec,1480,1480,1480,2012,andres martinez leon,Arabica,Typica,Washed / Wet,300,1.0,7.67,7.75,7.67,7.75,7.67,7.75,10.0,10.0,0.11,84.08,Green
Mexico,xicotepec de juarez,900,900,900,2012,oscar ortega carballo,Arabica,Typica,Washed / Wet,48,1.0,7.67,7.75,7.58,7.67,7.75,7.83,10.0,10.0,0.12,83.92,Blue-Green
Mexico,la concordia,1500,1500,1500,2012,alfredo bojalil,Arabica,Typica,Washed / Wet,250,1.0,7.5,7.67,7.58,7.83,7.75,7.75,10.0,10.0,0.11,83.92,Unknown
Mexico,la yerbabuena,1400,1400,1400,2012,organizaciones de productores de cafe colimense,Arabica,Typica,Washed / Wet,20,1.0,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10.0,0.0,83.92,Green
Mexico,petatlan,1218,1218,1218,2012,filemon mendoza campos,Arabica,Bourbon,Natural / Dry,20,1.0,7.67,8.0,7.67,7.42,7.67,7.5,10.0,10.0,0.1,83.83,Green
Mexico,"huazalingo, hidalgo",700,700,700,2012,saul m. hernandez ramirez,Arabica,Caturra,Natural / Dry,10,1.0,7.83,7.58,7.58,7.5,7.75,7.67,10.0,10.0,0.13,83.75,
Guatemala,quetzaltenango,1300,1300,1300,2012,the coffee source inc.,Arabica,Caturra,Washed / Wet,250,1.360776,7.67,7.58,7.58,7.67,7.75,7.75,10.0,10.0,0.11,83.75,Bluish-Green
Colombia,huila,1750,1750,1750,2012,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.75,7.75,7.58,7.83,7.17,7.75,10.0,10.0,0.11,83.67,Green
Guatemala,oriente,1450,1450,1450,2012,the coffee source inc.,Arabica,Caturra,Natural / Dry,250,1.0,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,0.11,83.67,Green
Guatemala,oriente,1310,1310,1310,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,1.0,7.67,8.17,7.5,7.42,7.58,7.83,10.0,10.0,0.11,83.67,Green
Mexico,xicotepec de juarez,1100,1100,1100,2012,juan luis ortega carballo,Arabica,Typica,Washed / Wet,48,1.0,7.67,7.5,7.5,7.33,7.83,8.25,10.0,10.0,0.12,83.67,Green
Indonesia,east java,1200,1600,1400,2012,ekai international company ltd.,Arabica,Typica,Washed / Wet,10,60.0,8.17,7.67,7.58,7.58,7.42,7.67,10.0,10.0,0.12,83.67,Green
Guatemala,"sacatepequez, guatemala",1524,1524,1524,2012,juan luis alvarado romero,Arabica,Caturra,Washed / Wet,250,69.0,7.67,7.5,7.33,8.0,7.67,7.67,10.0,10.0,0.1,83.67,Green
Colombia,huila,1600,1950,1775,2012,racafe & cia s.c.a,Arabica,Caturra,Washed / Wet,275,70.0,7.67,7.67,7.58,7.67,7.75,7.58,10.0,10.0,0.11,83.58,Green
Mexico,xalapa,1000,1000,1000,2012,alfredo bojalil,Arabica,Typica,Washed / Wet,250,1.0,7.83,7.67,7.58,7.58,7.67,7.58,10.0,10.0,0.12,83.58,Unknown
Colombia,cundinamarca,2136,2136,2136,2012,carcafe ltda ci,Arabica,Caturra,Natural / Dry,250,70.0,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,0.11,83.58,Green
Brazil,south of minas,1100,1100,1100,2012,nucoffee,Arabica,Catuai,Semi-washed / Semi-pulped,33,60.0,7.83,7.75,7.5,7.75,7.5,7.58,10.0,10.0,0.12,83.58,Blue-Green
Mexico,xalapa,1170,1170,1170,2012,manuel herrera juarez,Arabica,Bourbon,Natural / Dry,10,1.0,7.83,7.58,7.25,7.5,7.5,7.42,10.0,10.0,0.13,83.5,Green
Guatemala,atitlan,1524,1524,1524,2012,juan luis alvarado romero,Arabica,Caturra,Washed / Wet,275,69.0,7.83,7.5,7.5,8.0,7.67,7.5,10.0,10.0,0.1,83.5,Green
Colombia,huila,1600,1950,1775,2012,racafe & cia s.c.a,Arabica,Caturra,Washed / Wet,175,70.0,7.67,7.58,7.58,7.67,7.67,7.67,10.0,10.0,0.11,83.5,Green
Guatemala,oriente,1402,1402,1402,2012,felipe isaza,Arabica,Bourbon,Washed / Wet,250,2.0,7.5,7.5,7.75,7.5,8.0,7.67,10.0,10.0,0.0,83.5,Green
Colombia,cundinamarca,1450,1450,1450,2012,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.5,7.75,7.58,7.5,7.67,7.75,10.0,10.0,0.11,83.42,Green
Haiti,"thiotte, haiti",1280,1280,1280,2012,itiah coffee llc,Arabica,Typica,Washed / Wet,2,1.814368,7.58,7.5,7.67,7.5,7.83,7.42,10.0,10.0,0.11,83.33,Green
Burundi,kayanza,1880,1880,1880,2012,steven kil,Arabica,Bourbon,Washed / Wet,220,60.0,7.75,7.67,7.33,7.5,7.5,7.75,10.0,10.0,0.0,83.33,Unknown
Colombia,huila,1750,1750,1750,2012,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.5,7.67,7.67,7.58,7.67,7.58,10.0,10.0,0.0,83.33,Green
Guatemala,oriente,1310,1310,1310,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,1.0,7.83,7.58,7.08,7.83,7.42,8.08,10.0,10.0,0.11,83.25,Green
Colombia,huila,175,175,175,2012,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.67,7.58,7.58,7.42,7.83,7.58,10.0,10.0,0.12,83.25,Green
Colombia,la plata,1600,1950,1775,2012,racafe & cia s.c.a,Arabica,Caturra,Washed / Wet,175,70.0,7.67,7.67,7.5,7.5,7.58,7.67,10.0,10.0,0.11,83.25,Green
Mexico,"tlanchinol, hidalgo",532,532,532,2012,saul m. hernandez ramirez,Arabica,Typica,Washed / Wet,10,1.0,7.75,7.67,7.58,7.5,7.42,7.58,10.0,10.0,0.12,83.17,
Colombia,huila,1600,1950,1775,2012,racafe & cia s.c.a,Arabica,Caturra,Washed / Wet,275,70.0,7.67,7.5,7.5,7.5,7.58,8.17,10.0,10.0,0.11,83.17,Green
Mexico,san isidro,700,700,700,2012,fernando mendoza aparicio,Arabica,Typica,Washed / Wet,15,1.0,7.75,7.5,7.42,7.75,7.58,7.58,10.0,10.0,0.13,83.17,Green
Colombia,huila,1750,1750,1750,2012,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.58,7.67,7.5,7.58,7.67,7.67,10.0,10.0,0.11,83.17,Blue-Green
Mexico,la concordia,1380,1380,1380,2012,alfredo bojalil,Arabica,Typica,Washed / Wet,250,1.0,7.5,7.75,7.58,7.58,7.67,7.5,10.0,10.0,0.11,83.17,Unknown
Guatemala,oriente,1402,1402,1402,2012,felipe isaza,Arabica,Bourbon,Washed / Wet,250,2.0,7.75,7.5,7.67,7.5,7.92,8.0,10.0,9.33,0.0,83.17,Green
Colombia,huila,1600,1950,1775,2012,racafe & cia s.c.a,Arabica,Caturra,Washed / Wet,275,70.0,7.5,7.5,7.42,7.58,7.75,7.58,10.0,10.0,0.11,83.0,Green
Mexico,coatepec,750,750,750,2012,rosa aurora falcon fernandez,Arabica,Typica,Washed / Wet,15,1.0,7.67,7.58,7.42,7.5,7.67,7.58,10.0,10.0,0.11,83.0,Green
Mexico,atoyac de alvarez,1200,1200,1200,2012,santiago solis ayerdi,Arabica,Typica,Semi-washed / Semi-pulped,20,1.0,7.67,7.83,7.5,7.58,7.58,7.67,9.33,10.0,0.11,83.0,Green
Mexico,coatepec,1200,1200,1200,2012,alfredo bojalil,Arabica,Bourbon,Washed / Wet,250,1.0,7.5,7.67,7.5,7.5,7.58,7.58,10.0,10.0,0.11,83.0,Green
Colombia,huila,1500,1750,1625,2012,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.75,7.58,7.5,7.67,7.83,7.75,9.33,10.0,0.0,83.0,Green
Colombia,huila,1750,1750,1750,2012,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.67,7.58,7.58,7.58,7.67,7.42,10.0,10.0,0.11,83.0,Green
Guatemala,"la reforma, san marcos",1371,1371,1371,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,275,1.0,7.5,7.67,7.5,7.67,7.5,7.83,10.0,10.0,0.1,83.0,Green
Mexico,petatlan,1248,1248,1248,2012,maria guadalupe gomez anzo,Arabica,Typica,Natural / Dry,15,1.0,7.58,7.58,7.33,7.25,7.58,7.75,10.0,10.0,0.1,82.92,Green
Mexico,la cumbre,1400,1400,1400,2012,veronica lopez castillejos,Arabica,Typica,Washed / Wet,100,1.0,8.0,7.92,7.67,7.17,7.67,7.42,9.33,10.0,0.14,82.92,Green
Mexico,la concordia,1550,1550,1550,2012,armando luis pohlenz martinez,Arabica,Caturra,Washed / Wet,250,1.0,7.58,7.67,7.5,7.58,7.5,7.5,10.0,10.0,0.12,82.83,Green
Mexico,veracruz,1250,1250,1250,2012,alfredo bojalil,Arabica,Bourbon,Washed / Wet,250,1.0,7.67,7.58,7.42,7.75,7.42,7.42,10.0,10.0,0.12,82.83,Blue-Green
Guatemala,oriente,1310,1310,1310,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,1.0,7.67,7.67,7.33,7.5,7.33,7.92,10.0,10.0,0.11,82.83,Green
Mexico,la concordia,1380,1380,1380,2012,alfredo bojalil,Arabica,Typica,Washed / Wet,250,1.0,7.58,7.58,7.5,7.42,7.67,7.58,10.0,10.0,0.11,82.83,Unknown
Mexico,veracruz,1200,1200,1200,2012,sergio de la vequia bernardi,Arabica,Typica,Washed / Wet,250,1.0,7.58,7.58,7.33,7.75,7.25,7.58,10.0,10.0,0.12,82.75,Unknown
Mexico,atoyac de alvarez,1200,1200,1200,2012,romulo bello flores,Arabica,Typica,Natural / Dry,21,1.0,8.08,8.17,8.0,8.0,7.83,7.92,6.67,10.0,0.12,82.75,Unknown
Colombia,south huila,1400,1850,1625,2012,,Arabica,Caturra,Washed / Wet,250,70.0,7.5,7.58,7.42,7.67,7.5,7.58,10.0,10.0,0.0,82.75,Blue-Green
Colombia,huila,1600,1950,1775,2012,racafe & cia s.c.a,Arabica,Caturra,Washed / Wet,100,70.0,7.67,7.58,7.58,7.58,7.5,7.42,10.0,10.0,0.11,82.75,Green
Panama,boquete,1100,1100,1100,2012,rachel peterson,Arabica,Catuai,Washed / Wet,300,2.0,7.42,7.42,7.5,7.58,7.5,7.75,10.0,10.0,0.0,82.75,Green
Colombia,huila,1800,1800,1800,2012,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.75,7.58,7.67,7.25,7.58,7.42,10.0,10.0,0.11,82.67,Bluish-Green
Guatemala,antigua,1500,1500,1500,2012,juan luis alvarado romero,Arabica,Caturra,Washed / Wet,275,69.0,7.67,7.67,7.17,7.67,7.5,7.5,10.0,10.0,0.11,82.67,Green
Mexico,mahuixtlan,950,950,950,2012,grupo cafetalero los brujos spr de rl,Arabica,Typica,Washed / Wet,23,1.0,7.5,7.58,7.58,7.58,7.42,7.42,10.0,10.0,0.12,82.67,Unknown
Colombia,huila,1750,1750,1750,2012,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.75,7.5,7.75,7.25,7.33,7.58,10.0,10.0,0.11,82.58,Unknown
Mexico,oaxaca,1250,1250,1250,2012,guillermo rojas saldana,Arabica,Typica,Washed / Wet,50,1.0,7.5,7.58,7.5,7.5,7.42,7.5,10.0,10.0,0.1,82.58,Green
Mexico,colima,1150,1150,1150,2012,organizaciones de productores de cafe colimense,Arabica,Typica,Washed / Wet,70,1.0,7.67,7.58,7.58,7.75,7.67,6.83,10.0,10.0,0.12,82.58,Green
Colombia,huila,1600,1950,1775,2012,racafe & cia s.c.a,Arabica,Caturra,Washed / Wet,275,70.0,7.33,7.42,7.58,7.42,7.67,7.5,10.0,10.0,0.11,82.58,Green
Mexico,san bartolo tutotepec,1679,1679,1679,2012,saul m. hernandez ramirez,Arabica,Typica,Washed / Wet,10,1.0,7.5,7.58,7.5,7.5,7.42,7.42,10.0,10.0,0.13,82.5,
Mexico,zapotitlan de mendez,1100,1100,1100,2012,enrique mitre lopez,Arabica,Typica,Washed / Wet,10,1.0,7.67,7.5,7.33,7.67,7.5,7.33,10.0,10.0,0.12,82.5,Green
Mexico,la concordia,1650,1650,1650,2012,enrique eduardo lopez aguilar,Arabica,Typica,Semi-washed / Semi-pulped,28,1.0,7.92,7.5,7.33,7.58,7.25,7.42,10.0,10.0,0.11,82.5,Unknown
Guatemala,oriente,0,0,0,2012,juan luis alvarado romero,Arabica,Caturra,Natural / Dry,275,1.0,7.67,7.33,7.33,7.33,7.5,7.83,10.0,10.0,0.11,82.5,Green
Colombia,huila,1600,1950,1775,2012,racafe & cia s.c.a,Arabica,Caturra,Washed / Wet,275,70.0,7.67,7.5,7.33,7.5,7.25,7.67,10.0,10.0,0.11,82.5,Green
Brazil,south of minas,1000,1000,1000,2012,nucoffee,Arabica,Catuai,Semi-washed / Semi-pulped,39,60.0,7.58,7.67,7.33,7.5,7.5,7.42,10.0,10.0,0.12,82.42,Blue-Green
Mexico,xalapa,1170,1170,1170,2012,manuel herrera juarez,Arabica,Caturra,Washed / Wet,10,1.0,7.75,7.33,7.25,7.58,7.58,7.33,10.0,10.0,0.13,82.42,Green
Mexico,zihuatanejo de azueta,1300,1300,1300,2012,dario cesar galeana sanchez,Arabica,Typica,Washed / Wet,74,1.0,7.5,7.58,7.33,7.5,7.5,7.5,10.0,10.0,0.11,82.42,Green
Mexico,xicotepec de juarez,1150,1150,1150,2012,alvaro quiros perez,Arabica,Caturra,Washed / Wet,10,1.0,7.58,7.33,7.33,7.58,7.5,7.5,10.0,10.0,0.11,82.42,Green
Mexico,progreso santa rosa teocelo,1250,1250,1250,2012,olivia hernandez virves,Arabica,Bourbon,Washed / Wet,1,1.0,7.67,7.58,7.33,7.42,7.58,7.33,10.0,10.0,0.13,82.42,Unknown
Mexico,fln mirador,1450,1450,1450,2012,finca las nieves,Arabica,Typica,Washed / Wet,10,1.0,7.83,7.5,7.42,7.67,7.17,7.33,10.0,10.0,0.12,82.42,Bluish-Green
Colombia,huila,442,442,442,2012,carcafe ltda ci,Arabica,Caturra,Natural / Dry,250,70.0,7.67,7.33,7.25,7.42,7.5,7.67,10.0,10.0,0.0,82.42,Unknown
Guatemala,jalapa,1676,1828,1752,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,275,69.0,7.67,7.5,7.33,7.67,7.5,7.33,10.0,10.0,0.11,82.33,Green
Mexico,"jaltocan, hidalgo",441,441,441,2012,saul m. hernandez ramirez,Arabica,Typica,Natural / Dry,10,1.0,7.58,7.67,7.58,7.33,7.0,7.58,10.0,10.0,0.15,82.33,
Mexico,veracruz,1170,1170,1170,2012,manuel herrera juarez,Arabica,Bourbon,Washed / Wet,10,1.0,7.67,7.58,7.5,7.58,7.5,7.5,10.0,10.0,0.13,82.33,Green
Guatemala,oriente,1310,1310,1310,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,1.0,7.5,7.67,7.33,7.5,7.33,7.5,10.0,10.0,0.1,82.33,Green
Mexico,santa catarina juquila,1200,1400,1300,2012,maria luisa del carmen rojas narvaez,Arabica,Typica,Washed / Wet,10,1.0,8.0,7.75,7.33,7.33,7.08,7.67,9.33,10.0,0.11,82.33,Green
Colombia,huila,442,442,442,2012,carcafe ltda ci,Arabica,Caturra,Natural / Dry,250,70.0,7.83,7.58,7.33,7.25,7.58,7.42,10.0,10.0,0.0,82.33,Green
