Location.Country,Location.Region,Location.Altitude.Min,Location.Altitude.Max,Location.Altitude.Average,Year,Data.Owner,Data.Type.Species,Data.Type.Variety,Data.Type.Processing method,Data.Production.Number of bags,Data.Production.Bag weight,Data.Scores.Aroma,Data.Scores.Flavor,Data.Scores.Aftertaste,Data.Scores.Acidity,Data.Scores.Body,Data.Scores.Balance,Data.Scores.Uniformity,Data.Scores.Sweetness,Data.Scores.Moisture,Data.Scores.Total,Data.Color
Mexico,"calnali, hidalgo",533,533,533,2012,saul m. hernandez ramirez,Arabica,Bourbon,Washed / Wet,10,1.0,7.58,7.58,7.5,7.17,7.42,7.42,10.0,10.0,0.16,82.25,
Mexico,veracruz,1170,1170,1170,2012,manuel herrera juarez,Arabica,Bourbon,Washed / Wet,10,1.0,7.5,7.58,7.42,7.67,7.33,7.42,10.0,10.0,0.13,82.25,Green
Mexico,juquila,1250,1250,1250,2012,guillermo rojas saldana,Arabica,Typica,Washed / Wet,40,1.0,7.67,7.58,7.33,7.5,7.42,7.42,10.0,10.0,0.12,82.25,Green
Mexico,veracruz,1100,1100,1100,2012,sergio de la vequia bernardi,Arabica,Typica,Washed / Wet,250,1.0,7.33,7.58,7.42,7.67,7.33,7.5,10.0,10.0,0.11,82.25,Green
Mexico,canoas,900,900,900,2012,organizaciones de productores de cafe colimense,Arabica,Typica,Washed / Wet,250,1.0,7.42,7.5,7.42,7.58,7.42,7.5,10.0,10.0,0.1,82.25,Green
Colombia,huila,1750,1750,1750,2012,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.5,7.42,7.67,7.33,7.58,7.33,10.0,10.0,0.12,82.25,Green
Colombia,huila,1600,1950,1775,2012,racafe & cia s.c.a,Arabica,Caturra,Washed / Wet,100,70.0,7.67,7.33,7.33,7.33,7.5,7.5,10.0,10.0,0.11,82.25,Green
Mexico,san bartolo tutotepec,1144,1144,1144,2012,saul m. hernandez ramirez,Arabica,Typica,Washed / Wet,10,1.0,7.5,7.67,7.0,7.5,7.33,7.5,10.0,10.0,0.15,82.17,
Guatemala,oriente,1350,1350,1350,2012,the coffee source inc.,Arabica,Caturra,Washed / Wet,250,1.0,7.25,7.75,7.0,7.75,8.17,7.75,10.0,9.33,0.12,82.17,
Mexico,altotonga,1000,1000,1000,2012,salvador caro carrion,Arabica,Typica,Washed / Wet,200,1.0,7.5,7.58,7.25,7.5,7.5,7.33,10.0,10.0,0.12,82.17,Green
Mexico,colima,1200,1200,1200,2012,organizaciones de productores de cafe colimense,Arabica,Typica,Washed / Wet,60,1.0,7.0,7.67,7.5,7.5,7.42,7.5,10.0,10.0,0.1,82.17,Green
Mexico,tapachula,1800,1800,1800,2012,julio perez hernandez,Arabica,Typica,Washed / Wet,250,1.0,7.5,7.42,7.42,7.5,7.25,7.5,10.0,10.0,0.13,82.08,Green
Mexico,coatepec,1250,1250,1250,2012,rosa aurora falcon fernandez,Arabica,Typica,Washed / Wet,15,1.0,7.67,7.5,7.25,7.58,7.42,7.33,10.0,10.0,0.11,82.08,Green
Mexico,veracruz,1250,1250,1250,2012,sergio de la vequia bernardi,Arabica,Typica,Washed / Wet,250,1.0,7.58,7.42,7.25,7.75,7.33,7.42,10.0,10.0,0.11,82.08,Green
Mexico,coscomatepec,940,940,940,2012,jorge octavio escamilla prado,Arabica,Typica,Washed / Wet,15,1.0,7.67,7.33,7.25,7.5,7.42,7.42,10.0,10.0,0.12,82.0,Green
Brazil,cerrado,1050,1050,1050,2012,nucoffee,Arabica,Catuai,Semi-washed / Semi-pulped,75,60.0,7.42,7.5,7.25,7.5,7.5,7.42,10.0,10.0,0.11,82.0,Blue-Green
Guatemala,san marcos,0,0,0,2012,juan luis alvarado romero,Arabica,Bourbon,Natural / Dry,250,1.0,7.33,7.33,7.33,7.5,7.67,7.67,10.0,10.0,0.11,82.0,Green
Guatemala,oriente,1402,1402,1402,2012,felipe isaza,Arabica,Bourbon,Washed / Wet,250,2.0,7.75,7.33,7.33,7.42,7.75,7.67,10.0,9.33,0.0,82.0,Green
Mexico,"chapulhuacan, hidalgo",981,981,981,2012,saul m. hernandez ramirez,Arabica,Typica,Semi-washed / Semi-pulped,10,1.0,7.5,7.5,7.25,7.25,7.5,7.5,10.0,10.0,0.13,81.92,
Mexico,veracruz,1500,1500,1500,2012,christina dusing,Arabica,Bourbon,Washed / Wet,302,1.0,7.83,7.33,7.25,7.58,7.25,7.33,10.0,10.0,0.12,81.83,Green
Mexico,coatepec,1250,1250,1250,2012,jorge francisco martinez hachity,Arabica,Typica,Semi-washed / Semi-pulped,15,1.0,7.33,7.33,7.25,7.5,7.5,7.5,10.0,10.0,0.12,81.83,Green
Mexico,"tenango de doria, hidalgo",774,774,774,2012,saul m. hernandez ramirez,Arabica,Bourbon,Washed / Wet,10,1.0,7.5,7.5,7.33,7.42,7.25,7.25,10.0,10.0,0.13,81.75,
Mexico,oaxaca,1100,1100,1100,2012,diego manuel woolrich ramirez,Arabica,Typica,Washed / Wet,42,1.0,7.42,7.5,7.33,7.58,7.33,7.33,10.0,10.0,0.11,81.75,Green
Mexico,la concordia,1550,1550,1550,2012,armando luis pohlenz martinez,Arabica,Caturra,Washed / Wet,250,1.0,7.33,7.42,7.33,7.67,7.42,7.25,10.0,10.0,0.12,81.75,Green
Mexico,la concordia,1650,1650,1650,2012,enrique eduardo lopez aguilar,Arabica,Typica,Washed / Wet,28,1.0,7.5,7.42,7.25,7.33,7.67,7.25,10.0,10.0,0.12,81.75,Unknown
Guatemala,jalapa,1676,1828,1752,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,275,69.0,7.5,7.67,7.33,7.33,7.33,7.33,10.0,10.0,0.11,81.67,Green
Mexico,tuxtla gutierrez,1650,1650,1650,2012,virginia gordillo gordillo,Arabica,Typica,Washed / Wet,100,1.0,7.25,7.67,7.58,7.67,7.67,7.58,8.67,10.0,0.13,81.67,Green
Mexico,yajalon,1400,1400,1400,2012,jose luis munoz guerrero,Arabica,Bourbon,Washed / Wet,15,1.0,7.67,7.25,7.17,7.75,7.5,7.25,10.0,10.0,0.11,81.67,Green
Mexico,veracruz,1200,1200,1200,2012,christina dusing,Arabica,Bourbon,Washed / Wet,275,1.0,7.5,7.42,7.33,7.42,7.42,7.42,10.0,10.0,0.11,81.67,Green
Mexico,"la concordia, chiapas",1400,1400,1400,2012,alfredo bojalil,Arabica,Bourbon,Washed / Wet,250,1.0,7.58,7.42,7.25,7.58,7.25,7.17,10.0,10.0,0.11,81.67,Green
Mexico,la concordia,1650,1650,1650,2012,enrique eduardo lopez aguilar,Arabica,Typica,Natural / Dry,28,1.0,7.67,7.58,7.42,7.58,7.58,7.42,10.0,8.67,0.11,81.58,Unknown
Mexico,amatenango de la frontera,1600,1600,1600,2012,alfredo bojalil,Arabica,Typica,Washed / Wet,250,1.0,7.58,7.42,7.25,7.42,7.33,7.33,10.0,10.0,0.12,81.5,Green
Mexico,temaxcalapa,1100,1100,1100,2012,jose luis munoz guerrero,Arabica,Catuai,Washed / Wet,30,1.0,7.42,7.25,7.17,7.42,7.17,8.0,10.0,10.0,0.12,81.5,Green
Mexico,manzanillo,1000,1000,1000,2012,jose luis munoz guerrero,Arabica,Typica,Semi-washed / Semi-pulped,20,1.0,7.33,7.5,7.33,7.33,7.33,7.42,10.0,10.0,0.11,81.5,Green
Mexico,tapachula,1250,1250,1250,2012,tomas edelmann blass,Arabica,Bourbon,Washed / Wet,50,80.0,7.42,7.42,7.33,7.17,7.25,7.42,10.0,10.0,0.13,81.5,Green
Mexico,atoyac de alvarez,1100,1100,1100,2012,maria de la paz aguilar guillen,Arabica,Typica,Natural / Dry,15,1.0,7.5,7.5,7.25,7.5,7.42,7.58,9.33,10.0,0.11,81.5,Green
Guatemala,oriente,0,0,0,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,1.0,7.33,7.5,7.33,7.42,7.17,7.33,10.0,10.0,0.11,81.5,Green
Mexico,"huazalingo, hidalgo",763,763,763,2012,saul m. hernandez ramirez,Arabica,Caturra,Washed / Wet,10,1.0,7.42,7.33,7.25,7.17,7.25,7.42,10.0,10.0,0.13,81.42,
Mexico,"coatepec, coatepec",1100,1100,1100,2012,grupo cafetalero los brujos spr de rl,Arabica,Typica,Washed / Wet,20,1.0,7.42,7.42,7.25,7.25,7.5,7.33,10.0,10.0,0.13,81.42,Unknown
Mexico,tapachula,1800,1800,1800,2012,julio perez hernandez,Arabica,Typica,Washed / Wet,250,1.0,7.58,7.42,7.25,7.33,7.25,7.25,10.0,10.0,0.13,81.33,Green
Mexico,veracruz,1000,1000,1000,2012,hector gabriel barreda nader,Arabica,Typica,Washed / Wet,70,1.0,7.33,7.25,7.17,7.42,7.58,7.33,10.0,10.0,0.12,81.33,
Mexico,motozintla,1500,1500,1500,2012,alfredo bojalil,Arabica,Typica,Washed / Wet,250,1.0,7.42,7.42,7.33,7.33,7.5,7.42,9.33,10.0,0.12,81.25,Green
Mexico,tapachula,1800,1800,1800,2012,julio perez hernandez,Arabica,Typica,Natural / Dry,250,1.0,7.42,7.25,7.08,7.75,7.42,7.17,10.0,10.0,0.13,81.17,Green
Guatemala,oriente,1450,1450,1450,2012,the coffee source inc.,Arabica,Caturra,Washed / Wet,250,1.0,7.42,7.25,7.33,7.25,7.25,7.42,10.0,10.0,0.12,81.17,Green
Mexico,san fernando,1650,1650,1650,2012,obed rendon ponce,Arabica,Typica,Washed / Wet,100,1.0,7.25,7.42,7.33,7.33,7.17,7.33,10.0,10.0,0.13,81.08,
Mexico,santo reyes nopala,1300,1300,1300,2012,diego manuel woolrich ramirez,Arabica,Typica,Washed / Wet,30,1.0,7.33,7.25,7.33,7.42,7.25,7.42,10.0,10.0,0.12,81.08,Green
Mexico,santa maria sitepec,1642,1642,1642,2012,gerardo hernandez valderrabano,Arabica,Typica,Washed / Wet,40,1.0,7.33,7.33,7.25,7.42,7.25,7.25,10.0,10.0,0.11,81.08,Green
Mexico,talpa de allende,1200,1200,1200,2012,balbino ramirez flores,Arabica,Typica,Washed / Wet,15,1.0,7.42,7.33,7.25,7.42,7.17,7.25,10.0,10.0,0.1,81.08,Green
Mexico,adolfo lopez mateos,1100,1100,1100,2012,organizaciones de productores de cafe colimense,Arabica,Typica,Washed / Wet,200,1.0,7.58,7.67,7.5,7.67,7.58,7.5,8.0,10.0,0.0,81.0,Green
Mexico,ixhuatlan del cafe,1186,1186,1186,2012,eduardo luis augusto velazquez solis,Arabica,Typica,Washed / Wet,60,1.0,7.58,7.33,7.08,7.5,7.17,7.25,10.0,10.0,0.13,80.92,Green
Mexico,motozintla,1210,1210,1210,2012,luis roberto fermoso beltran,Arabica,Catuai,Semi-washed / Semi-pulped,15,1.0,7.17,7.08,7.25,7.42,7.25,7.33,10.0,10.0,0.13,80.83,Green
Mexico,veracruz,100,100,100,2012,christina dusing,Arabica,Bourbon,Washed / Wet,100,1.0,7.5,7.17,7.33,7.25,7.17,7.17,10.0,10.0,0.13,80.83,Green
Mexico,oaxaca,1200,1200,1200,2012,diego manuel woolrich ramirez,Arabica,Typica,Washed / Wet,30,1.0,7.58,7.33,7.42,7.25,7.5,7.5,9.33,10.0,0.11,80.75,Green
Haiti,haiti,1000,1000,1000,2012,myriam kaplan-pasternak,Arabica,Typica,Washed / Wet,1,2.0,7.42,7.0,7.42,7.25,7.08,7.33,10.0,10.0,0.12,80.75,Green
Guatemala,oriente,0,0,0,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,1.0,7.0,7.33,7.5,7.33,7.0,7.33,10.0,10.0,0.11,80.67,Green
Guatemala,oriente,0,0,0,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,1.0,7.0,7.5,7.33,7.17,7.17,7.17,10.0,10.0,0.11,80.67,Green
Mexico,zaragoza itundujia,1450,1450,1450,2012,israel eduardo paz garcia,Arabica,Typica,Washed / Wet,18,1.0,7.25,7.25,7.08,7.33,7.25,7.17,10.0,10.0,0.15,80.5,
Mexico,pochutla,1050,1050,1050,2012,alfredo bojalil,Arabica,Typica,Washed / Wet,250,1.0,6.92,7.17,7.08,7.5,7.33,7.17,10.0,10.0,0.1,80.42,Green
Mexico,la concordia,1550,1550,1550,2012,armando luis pohlenz martinez,Arabica,Caturra,Washed / Wet,250,1.0,7.42,7.08,7.08,7.33,7.25,7.17,10.0,10.0,0.12,80.42,Green
Colombia,,0,0,0,2012,honor dela fuente,Arabica,Typica,Washed / Wet,1,2.0,7.42,8.0,7.83,7.75,8.08,7.58,8.67,8.67,0.1,80.25,Green
Guatemala,oriente,1400,1400,1400,2012,the coffee source inc.,Arabica,Caturra,Washed / Wet,250,1.0,7.0,7.17,7.33,7.33,7.0,7.17,10.0,10.0,0.11,80.25,Green
Mexico,"calnali, hidalgo",808,808,808,2012,saul m. hernandez ramirez,Arabica,Caturra,Washed / Wet,10,1.0,7.58,7.33,7.17,7.25,6.75,7.0,10.0,10.0,0.11,80.25,
Mexico,zaragoza itundujia,1550,1550,1550,2012,israel eduardo paz garcia,Arabica,Typica,Washed / Wet,15,1.0,7.58,7.42,7.33,7.5,7.08,7.17,8.67,10.0,0.14,80.17,Green
Mexico,veracruz,1000,1000,1000,2012,marco virgilio ramirez teliz,Arabica,Bourbon,Washed / Wet,15,1.0,7.33,7.33,7.17,7.08,7.25,7.0,10.0,10.0,0.12,80.17,Green
Guatemala,oriente,1310,1310,1310,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,1.0,7.33,7.33,7.0,7.33,7.0,7.0,10.0,10.0,0.11,80.17,Green
Mexico,zaragoza itundujia,1300,1300,1300,2012,israel eduardo paz garcia,Arabica,Typica,Washed / Wet,13,1.0,7.33,7.17,7.25,7.08,7.08,7.08,10.0,10.0,0.15,80.08,
Mexico,escuitla,1300,1300,1300,2012,federico pacheco perez,Arabica,Typica,Washed / Wet,10,1.0,7.25,7.08,7.0,7.17,7.33,7.17,10.0,10.0,0.14,80.08,Green
Mexico,coatepec,1250,1250,1250,2012,pablo enrique martinez gama,Arabica,Typica,Washed / Wet,20,1.0,7.25,7.25,7.08,7.17,7.33,7.33,9.33,10.0,0.12,80.0,Green
Mexico,veracruz,1100,1100,1100,2012,christina dusing,Arabica,Bourbon,Washed / Wet,82,1.0,7.5,7.17,7.0,7.17,7.25,7.08,10.0,10.0,0.0,79.92,Unknown
Mexico,jaltenango,1100,1100,1100,2012,montegrande,Arabica,Catuai,Washed / Wet,250,1.0,7.17,7.08,7.08,7.08,7.5,7.33,9.33,10.0,0.11,79.92,Green
Mexico,coatepec,1250,1250,1250,2012,pablo enrique martinez gama,Arabica,Typica,Natural / Dry,100,1.0,7.33,7.25,7.0,7.42,7.17,7.17,9.33,10.0,0.12,79.92,Green
Mexico,veracruz,1300,1300,1300,2012,sergio de la vequia bernardi,Arabica,Typica,Washed / Wet,250,1.0,7.17,7.08,7.0,7.25,7.5,7.0,10.0,10.0,0.12,79.83,Green
Mexico,zaragoza itundujia,1450,1450,1450,2012,israel eduardo paz garcia,Arabica,Bourbon,Washed / Wet,12,1.0,7.25,7.17,7.17,7.08,7.17,7.0,10.0,10.0,0.14,79.75,
Mexico,pochutla,1050,1050,1050,2012,alfredo bojalil,Arabica,Typica,Washed / Wet,250,1.0,7.33,7.25,7.0,7.08,7.08,7.0,10.0,10.0,0.1,79.75,Green
Guatemala,antigua,0,0,0,2012,lusso lab,Arabica,Bourbon,Washed / Wet,275,69.0,7.58,7.33,7.5,7.33,7.0,7.33,9.33,9.33,0.0,79.75,Green
Mexico,tuxtla gutierrez,1100,1100,1100,2012,montegrande,Arabica,Typica,Washed / Wet,36,1.0,7.25,6.83,6.92,7.08,7.25,7.08,10.0,10.0,0.12,79.75,Unknown
Mexico,"tenango de doria, hidalgo",975,975,975,2012,saul m. hernandez ramirez,Arabica,Caturra,Washed / Wet,10,1.0,7.33,7.17,7.0,6.75,7.08,7.0,10.0,10.0,0.13,79.67,
Mexico,tepetzingo,1250,1250,1250,2012,obed rendon ponce,Arabica,Typica,Washed / Wet,50,1.0,7.08,7.0,6.92,7.33,7.25,7.08,10.0,10.0,0.12,79.58,
Mexico,la concordia,1550,1550,1550,2012,armando luis pohlenz martinez,Arabica,Caturra,Washed / Wet,250,1.0,7.25,6.92,6.92,7.33,7.25,7.0,10.0,10.0,0.13,79.58,Green
Mexico,la concordia,1550,1550,1550,2012,armando luis pohlenz martinez,Arabica,Caturra,Washed / Wet,250,1.0,7.25,7.08,6.92,7.25,7.58,7.08,9.33,10.0,0.12,79.5,Green
Mexico,"coatepec, coatepec",1100,1100,1100,2012,mario jose fernandez,Arabica,Typica,Washed / Wet,127,1.0,7.25,7.33,7.0,7.25,7.17,7.17,9.33,10.0,0.12,79.5,Bluish-Green
Mexico,zentla,950,950,950,2012,eric jesus cordoba arroyo,Arabica,Typica,Washed / Wet,30,1.0,7.0,7.0,6.83,7.33,7.42,6.92,10.0,10.0,0.14,79.33,
Mexico,zentla,750,750,750,2012,eric jesus cordoba arroyo,Arabica,Typica,Washed / Wet,50,1.0,7.42,7.17,7.08,7.17,7.08,7.08,9.33,10.0,0.14,79.33,Green
Guatemala,oriente,0,0,0,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,1.0,7.17,6.5,6.33,7.25,7.58,7.33,10.0,10.0,0.11,79.33,Green
Mexico,veracruz,1000,1000,1000,2012,marco virgilio ramirez teliz,Arabica,Bourbon,Washed / Wet,12,1.0,7.0,7.0,6.92,7.17,7.17,7.08,10.0,10.0,0.13,79.25,Green
Costa Rica,san rafael,0,0,0,2012,brent hall,Arabica,Catuai,Washed / Wet,1,2.0,7.17,7.42,7.5,8.0,7.25,7.83,10.0,6.67,0.1,79.17,
Mexico,zaragoza itundujia,1550,1550,1550,2012,israel eduardo paz garcia,Arabica,Typica,Washed / Wet,10,1.0,7.25,7.08,6.92,7.08,7.17,7.17,9.33,10.0,0.14,79.17,
Mexico,yajalon,1450,1450,1450,2012,julio cesar robles flores,Arabica,Typica,Washed / Wet,53,1.0,7.17,6.92,6.92,7.08,7.17,7.0,10.0,10.0,0.14,79.17,Green
Mexico,zaragoza itundujia,1500,1500,1500,2012,israel eduardo paz garcia,Arabica,Typica,Washed / Wet,13,1.0,7.33,7.0,6.92,7.25,7.33,7.08,9.33,10.0,0.16,79.08,
Mexico,talpa de allende,1200,1200,1200,2012,balbino ramirez flores,Arabica,Typica,Washed / Wet,10,1.0,7.17,7.25,7.25,7.17,7.25,7.08,9.33,10.0,0.1,79.08,Bluish-Green
Peru,san ignacio,1400,1400,1400,2012,sustainable harvest coffee,Arabica,Typica,Washed / Wet,280,69.0,7.67,7.17,7.08,7.25,8.0,7.5,8.67,9.33,0.0,79.0,Unknown
Mexico,zaragoza itundujia,1550,1550,1550,2012,israel eduardo paz garcia,Arabica,Typica,Semi-washed / Semi-pulped,16,1.0,7.5,7.17,6.92,7.5,7.25,7.0,8.67,10.0,0.14,79.0,Green
Mexico,zaragoza itundujia,1400,1400,1400,2012,israel eduardo paz garcia,Arabica,Typica,Washed / Wet,14,1.0,7.5,7.0,6.92,7.08,6.92,6.75,10.0,10.0,0.16,78.92,
Mexico,veracruz,1320,1320,1320,2012,octavio augusto diaz trejo,Arabica,Typica,Washed / Wet,20,1.0,7.25,6.83,6.83,7.0,7.17,7.0,10.0,10.0,0.14,78.75,Green
Mexico,veracruz,1250,1250,1250,2012,damaso martinez perez,Arabica,Typica,Semi-washed / Semi-pulped,35,1.0,7.25,7.33,7.17,7.25,7.08,7.0,8.67,10.0,0.14,78.75,
Mexico,"ohuapan, tlaltetela",1350,1350,1350,2012,"productores de especialidad emiliano zapeata, spr.",Arabica,Bourbon,Washed / Wet,10,1.0,7.67,7.17,6.83,7.33,7.58,7.17,9.33,8.67,0.12,78.75,Unknown
Mexico,yecuatla,1150,1150,1150,2012,juan garcia hernandez,Arabica,Caturra,Washed / Wet,20,1.0,6.92,6.92,6.67,7.25,7.17,6.92,10.0,10.0,0.13,78.67,
Mexico,tapachula,1400,1400,1400,2012,alfredo bojalil,Arabica,Typica,Washed / Wet,250,1.0,7.0,7.0,6.75,7.33,6.92,6.92,10.0,10.0,0.13,78.58,Green
Mexico,cofradia de suchitlan,1300,1300,1300,2012,organizaciones de productores de cafe colimense,Arabica,Typica,Washed / Wet,50,1.0,7.92,7.58,7.58,7.92,7.92,7.5,8.0,10.0,0.1,78.58,Unknown
Mexico,los angeles,1200,1200,1200,2012,francisco ruiz nunez,Arabica,Caturra,Washed / Wet,20,1.0,7.25,7.17,7.0,6.83,7.58,7.08,8.67,10.0,0.13,78.5,Green
Mexico,zaragoza itundujia,1500,1500,1500,2012,israel eduardo paz garcia,Arabica,Typica,Washed / Wet,10,1.0,7.58,7.17,7.0,7.17,7.33,7.0,8.0,10.0,0.14,78.42,
Guatemala,oriente,1310,1310,1310,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,1.0,7.17,7.17,6.5,7.17,7.0,6.83,10.0,10.0,0.11,78.33,Green
Guatemala,oriente,0,0,0,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,1.0,7.17,6.08,6.17,7.25,7.33,7.33,10.0,10.0,0.11,78.33,Green
Mexico,cordoba,1050,1050,1050,2012,gustavo amieva gonzalez,Arabica,Typica,Washed / Wet,320,1.0,7.08,6.83,6.67,7.25,7.25,6.92,10.0,10.0,0.11,78.08,Green
Mexico,petatlan,1248,1248,1248,2012,gustavo abarca solis,Arabica,Typica,Washed / Wet,50,1.0,7.42,7.25,7.0,7.0,7.25,7.08,8.0,10.0,0.11,77.92,Green
Guatemala,oriente,0,0,0,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,1.0,7.17,6.17,6.17,7.08,7.33,6.83,10.0,10.0,0.11,77.92,Green
Mexico,coatepec,1300,1300,1300,2012,stephany escamilla femat,Arabica,Typica,Washed / Wet,23,1.0,7.17,6.75,6.58,6.75,6.83,6.75,10.0,10.0,0.13,77.5,Green
Mexico,zaragoza itundujia,1500,1500,1500,2012,israel eduardo paz garcia,Arabica,Typica,Washed / Wet,10,1.0,7.33,7.0,6.67,7.0,6.92,6.92,9.33,10.0,0.15,77.33,
Mexico,coatepec,1100,1100,1100,2012,homero antonio de anda andrade,Arabica,Typica,Washed / Wet,10,1.0,7.17,6.58,6.58,7.0,7.25,6.58,9.33,10.0,0.13,76.42,Green
Guatemala,oriente,1310,1310,1310,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,69.0,7.5,7.0,6.83,7.5,7.17,7.33,8.67,8.67,0.11,76.33,Green
Mexico,zaragoza itundujia,1400,1400,1400,2012,israel eduardo paz garcia,Arabica,Typica,Washed / Wet,11,1.0,7.42,7.0,6.83,7.08,6.92,6.83,7.33,10.0,0.16,76.17,
Guatemala,oriente,1310,1310,1310,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,1.0,7.92,7.58,7.17,7.58,7.33,7.17,8.0,8.0,0.11,75.58,Green
Guatemala,oriente,0,0,0,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,1.0,6.67,6.5,6.33,7.0,7.17,6.75,8.67,10.0,0.12,75.58,Unknown
Mexico,huautla de jimenez,1280,1280,1280,2012,martin jimenez casiano,Arabica,Typica,Washed / Wet,18,1.0,7.17,7.17,6.83,7.17,7.42,6.67,8.67,10.0,0.13,75.17,Bluish-Green
Mexico,menglian,850,850,850,2012,"grupo juvenil magtayani, ac",Arabica,Typica,Washed / Wet,43,1.0,7.0,6.92,6.75,6.92,7.17,6.83,10.0,10.0,0.14,75.0,Green
Mexico,zaragoza itundujia,1500,1500,1500,2012,israel eduardo paz garcia,Arabica,Typica,Washed / Wet,14,1.0,7.08,6.75,6.58,7.0,7.0,6.75,8.67,10.0,0.17,74.92,
