Location.Country,Location.Region,Location.Altitude.Min,Location.Altitude.Max,Location.Altitude.Average,Year,Data.Owner,Data.Type.Species,Data.Type.Variety,Data.Type.Processing method,Data.Production.Number of bags,Data.Production.Bag weight,Data.Scores.Aroma,Data.Scores.Flavor,Data.Scores.Aftertaste,Data.Scores.Acidity,Data.Scores.Body,Data.Scores.Balance,Data.Scores.Uniformity,Data.Scores.Sweetness,Data.Scores.Moisture,Data.Scores.Total,Data.Color
Mexico,coatepec,1250,1250,1250,2012,pablo enrique martinez gama,Arabica,Typica,Washed / Wet,20,1.0,7.33,6.75,6.67,7.25,7.5,7.0,10.0,10.0,0.12,74.83,Green
Guatemala,oriente,0,0,0,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,1.0,6.75,6.5,6.17,7.0,7.25,6.75,8.0,10.0,0.11,74.75,Unknown
Guatemala,oriente,0,0,0,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,1.0,6.75,6.67,6.17,7.17,7.0,6.58,8.0,10.0,0.11,74.75,Unknown
Mexico,"chocaman, veracruz",1140,1140,1140,2012,jorge octavio escamilla prado,Arabica,Typica,Washed / Wet,20,1.0,7.0,6.58,6.67,6.83,7.08,6.83,10.0,10.0,0.14,74.33,Green
Mexico,xalapa,1200,1200,1200,2012,myrna roxana galvez gonzalez,Arabica,Typica,Washed / Wet,100,1.0,6.92,6.42,6.17,7.33,7.25,6.75,10.0,10.0,0.13,74.0,
Mexico,coatepec,1250,1250,1250,2012,eugene holman pew,Arabica,Typica,Washed / Wet,20,1.0,7.67,7.0,7.17,7.58,7.33,7.33,10.0,10.0,0.12,73.83,Green
Mexico,veracruz,1800,1800,1800,2012,ricardo aaron sampieri marini,Arabica,Bourbon,Washed / Wet,25,1.0,6.5,6.67,6.42,7.17,7.33,6.5,8.0,10.0,0.11,71.0,Green
Mexico,juchique de ferrer,900,900,900,2012,juan carlos garcia lopez,Arabica,Bourbon,Washed / Wet,12,1.0,7.08,6.83,6.25,7.42,7.25,6.75,10.0,10.0,0.11,68.33,
Haiti,"department d'artibonite , haiti",350,350,350,2012,myriam kaplan-pasternak,Arabica,Typica,Natural / Dry,1,2.0,6.75,6.58,6.42,6.67,7.08,6.67,9.33,6.0,0.14,67.92,Blue-Green
Guatemala,nuevo oriente,1417,1417,1417,2012,juan luis alvarado romero,Arabica,Catuai,Washed / Wet,275,1.0,7.5,6.67,6.67,7.67,7.33,6.67,8.0,1.33,0.1,59.83,Green
Colombia,tolima,900,1500,1200,2013,lusso lab,Arabica,Caturra,Washed / Wet,1,2.0,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,0.12,86.0,Green
Colombia,huila,1800,1800,1800,2013,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,275,70.0,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,0.0,85.92,Blue-Green
El Salvador,apaneca,1500,1500,1500,2013,atlantic specialty coffee,Arabica,Bourbon,Washed / Wet,275,2.0,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,0.1,85.58,Blue-Green
Guatemala,huehuetenango,1706,1755,1731,2013,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,69.0,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,0.11,85.5,Green
Colombia,huila,1600,1900,1750,2013,racafe & cia s.c.a,Arabica,Caturra,Washed / Wet,75,70.0,7.75,7.75,7.83,7.75,7.58,8.0,10.0,10.0,0.0,84.58,Unknown
Guatemala,oriente,1310,1310,1310,2013,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,69.0,8.17,7.83,7.67,7.83,7.67,7.83,10.0,10.0,0.11,84.5,Green
Colombia,huila,1800,1800,1800,2013,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,275,70.0,7.75,7.58,7.33,7.83,7.58,8.08,10.0,10.0,0.0,84.33,Green
Colombia,cauca,1700,1700,1700,2013,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.58,7.5,7.75,7.83,7.92,7.83,10.0,10.0,0.11,84.25,Green
Guatemala,oriente,1310,1310,1310,2013,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,69.0,7.92,7.75,7.67,7.67,7.83,7.92,10.0,10.0,0.11,84.17,Green
El Salvador,apaneca,1500,1500,1500,2013,atlantic specialty coffee,Arabica,Bourbon,Natural / Dry,275,2.0,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10.0,0.11,84.17,Bluish-Green
Colombia,cauca,1700,1700,1700,2013,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,270,70.0,7.67,7.83,7.67,7.75,7.67,7.75,10.0,10.0,0.11,84.0,Green
Costa Rica,central valley,1200,1400,1300,2013,eric thormaehlen,Arabica,Catuai,Washed / Wet,250,1.0,7.83,7.42,7.5,7.83,7.75,7.83,10.0,10.0,0.1,83.83,Green
Colombia,huila,1750,1750,1750,2013,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.67,7.58,7.58,7.83,7.58,7.67,10.0,10.0,0.11,83.83,Green
Guatemala,oriente,1310,1310,1310,2013,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,69.0,7.5,7.83,7.5,7.83,7.83,7.67,10.0,10.0,0.11,83.83,Green
Uganda,west nile,1400,1400,1400,2013,nile highland arabica coffee farmers,Arabica,Bourbon,Natural / Dry,320,60.0,8.0,7.92,7.58,7.75,7.33,7.5,10.0,10.0,0.12,83.75,Green
Colombia,huila,1750,1750,1750,2013,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.58,7.67,7.75,7.67,7.67,7.67,10.0,10.0,0.0,83.75,Blue-Green
Colombia,huila,1750,1750,1750,2013,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,275,70.0,7.75,7.67,7.75,7.58,7.42,8.0,10.0,10.0,0.11,83.75,Green
Colombia,huila supremo,1750,1750,1750,2013,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.83,7.75,7.67,7.58,7.58,7.67,10.0,10.0,0.0,83.67,Green
Colombia,huila,1800,2000,1900,2013,racafe & cia s.c.a,Arabica,Caturra,Washed / Wet,250,70.0,7.67,7.67,7.67,7.67,7.33,7.75,10.0,10.0,0.0,83.67,Green
Guatemala,oriente,1310,1310,1310,2013,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,69.0,7.67,7.67,7.42,7.67,8.0,7.75,10.0,10.0,0.12,83.67,Green
Guatemala,oriente,1310,1310,1310,2013,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,69.0,7.83,7.67,7.33,7.67,7.67,7.83,10.0,10.0,0.11,83.67,Green
Guatemala,atitlan,1400,1400,1400,2013,the coffee source inc.,Arabica,Caturra,Washed / Wet,250,1.0,7.58,7.75,7.5,7.83,7.42,7.67,10.0,10.0,0.1,83.5,Green
Colombia,huila,1750,1750,1750,2013,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.58,7.75,7.42,7.67,7.75,7.67,10.0,10.0,0.0,83.5,Green
Colombia,huila,1750,1750,1750,2013,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.58,7.67,7.58,7.75,7.58,7.75,10.0,10.0,0.11,83.5,Green
Guatemala,oriente,1219,1219,1219,2013,juan luis alvarado romero,Arabica,Bourbon,Natural / Dry,250,69.0,7.75,7.83,7.33,7.83,7.5,7.67,10.0,10.0,0.1,83.42,Green
Guatemala,oriente,1310,1310,1310,2013,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,69.0,7.67,7.5,7.75,7.42,7.75,7.75,10.0,10.0,0.11,83.42,Green
Costa Rica,central valley,1100,1300,1200,2013,eric thormaehlen,Arabica,Catuai,Washed / Wet,250,1.0,7.5,7.67,7.67,7.5,7.83,7.17,10.0,10.0,0.11,83.33,Green
Colombia,pitalito,1000,1000,1000,2013,carcafe ltda ci,Arabica,Caturra,Natural / Dry,250,70.0,7.67,7.67,7.5,7.67,7.92,7.42,10.0,10.0,0.11,83.33,Green
Guatemala,oriente,1310,1310,1310,2013,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,69.0,7.83,7.67,7.17,7.67,7.67,7.67,10.0,10.0,0.11,83.33,Green
Colombia,huila,1750,1750,1750,2013,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,275,70.0,7.83,7.5,7.67,7.33,7.67,7.67,10.0,10.0,0.11,83.25,Green
Mexico,chiapas,1300,1300,1300,2013,calixto guillen vazquez,Arabica,Bourbon,Washed / Wet,200,1.0,7.58,7.75,7.5,7.5,7.58,7.58,10.0,10.0,0.12,83.25,Green
Honduras,san marcos,1450,1450,1450,2013,mayra yessenia torres,Arabica,Catuai,Natural / Dry,275,1.0,7.5,7.5,7.5,7.67,7.67,7.67,10.0,10.0,0.1,83.17,Green
Guatemala,oriente,1310,1310,1310,2013,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,69.0,7.67,7.83,7.33,7.67,7.5,7.67,10.0,10.0,0.11,83.17,Green
Mexico,chiapas,1500,1500,1500,2013,nestor mendez gomez,Arabica,Typica,Washed / Wet,45,1.0,7.75,7.58,7.58,7.58,7.5,7.42,10.0,10.0,0.11,83.17,Green
Costa Rica,central valley,1100,1300,1200,2013,eric thormaehlen,Arabica,Catuai,Washed / Wet,250,1.0,7.67,7.58,7.5,7.58,7.5,7.5,10.0,10.0,0.11,83.0,Green
Colombia,huila,1600,1950,1775,2013,racafe & cia s.c.a,Arabica,Caturra,Washed / Wet,120,70.0,7.75,7.42,7.33,7.5,7.58,7.17,10.0,10.0,0.11,83.0,Green
Colombia,huila,1750,1750,1750,2013,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.83,7.5,7.58,7.33,7.5,7.67,10.0,10.0,0.0,83.0,Green
Colombia,pitalito,1000,1000,1000,2013,carcafe ltda ci,Arabica,Caturra,Natural / Dry,250,70.0,7.33,7.67,7.75,7.42,7.75,7.58,10.0,10.0,0.11,83.0,Green
Colombia,pitalito,1000,1000,1000,2013,carcafe ltda ci,Arabica,Caturra,Natural / Dry,250,70.0,7.58,7.75,7.42,7.67,7.58,7.42,10.0,10.0,0.0,83.0,Green
Colombia,huila,1800,2000,1900,2013,racafe & cia s.c.a,Arabica,Caturra,Washed / Wet,250,70.0,7.58,7.5,7.75,7.33,7.58,7.58,10.0,10.0,0.11,82.92,Green
Colombia,huila,1750,1750,1750,2013,exportadora de cafe condor s.a,Arabica,Caturra,Natural / Dry,250,70.0,7.75,7.5,7.25,7.5,7.75,7.5,10.0,10.0,0.0,82.92,Bluish-Green
Guatemala,huehuetenango,1658,1755,1706,2013,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,69.0,7.83,7.75,7.25,7.92,7.5,7.17,10.0,10.0,0.11,82.92,Green
Colombia,santander,1800,1800,1800,2013,"coffeebythebag.com , inc",Arabica,Typica,Natural / Dry,40,1.0,7.5,7.42,7.58,7.5,7.58,7.58,10.0,10.0,0.0,82.83,Green
Colombia,huila,1600,1950,1775,2013,racafe & cia s.c.a,Arabica,Caturra,Washed / Wet,125,70.0,7.83,7.5,7.5,7.42,7.5,7.5,10.0,10.0,0.11,82.83,Green
Colombia,antioquia,1300,1300,1300,2013,the coffee source inc.,Arabica,Caturra,Washed / Wet,250,1.0,7.58,7.33,7.17,7.33,7.25,8.58,10.0,10.0,0.1,82.75,Green
Mexico,chiapas,1550,1550,1550,2013,nestor mendez gomez,Arabica,Typica,Washed / Wet,32,1.0,7.58,7.58,7.5,7.5,7.5,7.5,10.0,10.0,0.12,82.75,Green
Costa Rica,central valley,1200,1400,1300,2013,eric thormaehlen,Arabica,Catuai,Washed / Wet,250,1.0,7.67,7.42,7.5,7.67,7.0,7.75,10.0,10.0,0.11,82.58,Green
Colombia,huila,1750,1750,1750,2013,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.75,7.25,7.33,7.42,7.5,7.83,10.0,10.0,0.11,82.58,Blue-Green
Colombia,huila,1750,1750,1750,2013,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.58,7.5,7.42,7.58,7.67,7.42,10.0,10.0,0.11,82.58,Green
Guatemala,oriente,1310,1310,1310,2013,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,69.0,7.83,7.42,7.33,7.67,7.42,7.5,10.0,10.0,0.12,82.5,Green
Colombia,huila,1750,1750,1750,2013,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.5,7.5,7.42,7.42,7.58,7.58,10.0,10.0,0.11,82.5,Green
Guatemala,oriente,1310,1310,1310,2013,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,69.0,7.83,7.67,7.17,7.33,7.5,7.67,10.0,10.0,0.11,82.5,Green
Guatemala,atitlan,1400,1400,1400,2013,the coffee source inc.,Arabica,Caturra,Washed / Wet,250,1.0,7.5,7.5,7.5,7.67,7.42,7.5,10.0,10.0,0.1,82.42,Green
Mexico,veracruz,1170,1170,1170,2013,manuel herrera juarez,Arabica,Bourbon,Washed / Wet,10,1.0,7.5,7.58,7.5,7.92,7.42,7.67,9.33,10.0,0.12,82.42,Green
Colombia,huila,1600,1950,1775,2013,racafe & cia s.c.a,Arabica,Caturra,Washed / Wet,250,70.0,7.67,7.42,7.33,7.5,7.58,7.5,10.0,10.0,0.11,82.42,Green
Mexico,chiapas,1560,1560,1560,2013,nestor mendez gomez,Arabica,Typica,Washed / Wet,49,1.0,7.5,7.42,7.42,7.67,7.42,7.58,10.0,10.0,0.12,82.42,Green
Colombia,antioquia,1300,1300,1300,2013,the coffee source inc.,Arabica,Caturra,Washed / Wet,250,3.0,7.42,7.33,7.5,7.17,7.08,8.33,10.0,10.0,0.1,82.33,Green
Guatemala,oriente,1310,1310,1310,2013,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,69.0,7.5,7.42,7.58,7.5,7.5,7.58,10.0,10.0,0.12,82.33,Green
Colombia,huila,1750,1750,1750,2013,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.5,7.42,7.5,7.5,7.5,7.58,10.0,10.0,0.0,82.33,Green
Mexico,"la concordia, chiapas",1300,1300,1300,2013,alfredo bojalil,Arabica,Typica,Washed / Wet,250,1.0,7.67,7.5,7.42,7.5,7.42,7.42,10.0,10.0,0.12,82.33,Green
Colombia,huila,1750,1750,1750,2013,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.33,7.25,7.25,7.58,7.75,7.5,10.0,10.0,0.0,82.17,Bluish-Green
Costa Rica,turrialba,13,13,13,2013,"ceca, s.a.",Arabica,Caturra,Washed / Wet,150,69.0,7.58,7.33,7.33,7.33,7.5,7.67,10.0,10.0,0.11,82.08,Green
Costa Rica,central valley,1200,1400,1300,2013,eric thormaehlen,Arabica,Catuai,Washed / Wet,250,1.0,7.5,7.25,7.33,7.33,7.75,7.5,10.0,10.0,0.1,82.0,Green
Colombia,huila,1800,2000,1900,2013,racafe & cia s.c.a,Arabica,Caturra,Washed / Wet,250,70.0,7.33,7.33,7.58,7.5,7.5,7.58,10.0,10.0,0.11,82.0,Green
Mexico,chiapas,1300,1300,1300,2013,calixto guillen vazquez,Arabica,Bourbon,Washed / Wet,450,1.0,7.58,7.5,7.25,7.58,7.5,7.25,10.0,10.0,0.12,81.92,Green
Colombia,huila,1600,1950,1775,2013,racafe & cia s.c.a,Arabica,Caturra,Washed / Wet,50,70.0,7.5,7.5,7.0,7.42,7.5,7.58,10.0,10.0,0.0,81.83,Bluish-Green
Guatemala,oriente,1310,1310,1310,2013,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,69.0,7.83,7.67,7.33,7.33,7.67,7.83,9.33,9.33,0.11,81.83,Green
Costa Rica,tarrazu,1850,1850,1850,2013,"ceca, s.a.",Arabica,Caturra,Washed / Wet,275,69.0,7.5,7.17,7.17,7.17,7.5,7.08,10.0,10.0,0.11,81.67,Green
Mexico,"la concordia, chiapas",1400,1400,1400,2013,fredy gordillo reyes,Arabica,Typica,Washed / Wet,310,1.0,7.5,7.42,7.08,7.58,7.33,7.33,10.0,10.0,0.12,81.67,Green
Guatemala,oriente,1310,1310,1310,2013,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,69.0,7.42,7.33,7.17,7.58,7.42,7.5,10.0,10.0,0.12,81.58,Green
Mexico,"la concordia, chiapas",1400,1400,1400,2013,fredy gordillo reyes,Arabica,Typica,Washed / Wet,310,1.0,7.67,7.5,7.42,7.5,6.75,7.42,10.0,10.0,0.12,81.58,Green
Mexico,"la concordia, chiapas",1150,1150,1150,2013,alfredo bojalil,Arabica,Typica,Washed / Wet,250,1.0,7.33,7.33,7.17,7.42,7.5,7.5,10.0,10.0,0.13,81.5,Green
Guatemala,oriente,1310,1310,1310,2013,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,69.0,7.42,7.33,7.25,7.42,7.42,7.5,10.0,10.0,0.12,81.42,Green
Guatemala,"sacatepequez, guatemala",1524,1524,1524,2013,juan luis alvarado romero,Arabica,Caturra,Washed / Wet,250,69.0,7.5,7.33,7.5,7.58,7.0,7.25,10.0,10.0,0.11,81.25,Green
Brazil,monte carmelo,0,0,0,2013,bourbon specialty coffees,Arabica,Catuai,Natural / Dry,300,1.0,7.42,7.42,7.17,7.42,7.33,7.25,10.0,10.0,0.11,81.17,Green
Nicaragua,matagalpa,700,1400,1050,2013,chris finch,Arabica,Caturra,Washed / Wet,275,0.453592,7.33,7.08,7.25,7.0,7.5,7.42,10.0,10.0,0.1,80.92,Green
Guatemala,orient,1200,1200,1200,2013,the coffee source inc.,Arabica,Caturra,Washed / Wet,250,1.0,7.67,7.25,7.08,7.33,7.17,7.25,10.0,10.0,0.11,80.83,Green
Guatemala,"san lucas toliman, solola",1550,1550,1550,2013,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,69.0,7.67,7.17,7.0,7.5,7.0,7.0,10.0,10.0,0.12,80.67,Green
Guatemala,huehuetenango,1859,1859,1859,2013,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,1.0,7.5,7.5,7.0,7.67,7.17,7.0,10.0,10.0,0.12,80.5,Green
El Salvador,"department of ahuachapan, municipality of apanecallamatepec mountain",1450,1450,1450,2013,lusso lab,Arabica,Bourbon,Washed / Wet,2,2.0,7.33,7.17,7.08,7.08,7.33,7.17,10.0,10.0,0.0,80.42,Green
Guatemala,oriente,1310,1310,1310,2013,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,69.0,7.33,7.33,6.83,7.5,7.0,7.17,10.0,10.0,0.11,80.33,Green
Guatemala,oriente,1310,1310,1310,2013,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,69.0,7.33,7.33,7.0,7.17,7.17,7.17,10.0,10.0,0.11,80.17,Green
Mexico,chiapas,1300,1300,1300,2013,calixto guillen vazquez,Arabica,Bourbon,Washed / Wet,400,1.0,7.33,7.08,7.08,7.33,7.42,7.17,9.33,10.0,0.12,79.92,Green
Costa Rica,brunca,1100,1100,1100,2013,the coffee source inc.,Arabica,Catuai,Washed / Wet,275,2.0,7.58,7.5,7.67,7.75,7.67,7.58,8.0,10.0,0.1,79.75,Bluish-Green
Mexico,"la concordia, chiapas",1400,1400,1400,2013,fredy gordillo reyes,Arabica,Typica,Washed / Wet,310,1.0,7.58,7.08,7.0,7.0,7.5,6.92,10.0,10.0,0.12,79.75,Green
Mexico,chiapas,1022,1022,1022,2013,leonides de la cruz lopez,Arabica,Bourbon,Washed / Wet,275,1.0,7.58,7.08,6.92,7.58,7.5,6.92,10.0,10.0,0.13,79.75,Green
Mexico,chiapas,1300,1300,1300,2013,calixto guillen vazquez,Arabica,Bourbon,Washed / Wet,380,1.0,7.25,7.08,7.0,7.17,7.17,7.08,10.0,10.0,0.12,79.75,Green
Guatemala,oriente,1310,1310,1310,2013,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,69.0,7.5,7.0,6.83,7.08,7.08,7.17,10.0,10.0,0.11,79.67,Green
Mexico,"la concordia, chiapas",1400,1400,1400,2013,fredy gordillo reyes,Arabica,Typica,Washed / Wet,310,1.0,7.42,7.25,6.83,7.58,7.17,6.58,10.0,10.0,0.12,79.67,Green
Colombia,cundinamarca,1550,1550,1550,2013,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.83,7.5,7.42,7.42,7.67,7.5,10.0,10.0,0.0,79.5,Green
Guatemala,oriente,1219,1219,1219,2013,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,69.0,7.08,7.33,7.25,7.58,7.33,7.42,9.33,9.33,0.1,79.42,Green
Colombia,pereira,1200,1200,1200,2013,the coffee source inc.,Arabica,Caturra,Washed / Wet,250,1.360776,7.42,7.25,6.75,7.25,7.42,7.25,9.33,10.0,0.0,79.33,Green
Mexico,"la concordia, chiapas",1300,1300,1300,2013,alfredo bojalil,Arabica,Typica,Washed / Wet,250,1.0,7.33,7.0,6.75,7.08,7.17,7.25,9.33,10.0,0.12,78.92,Green
Guatemala,oriente,1310,1310,1310,2013,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,69.0,7.33,7.08,6.33,7.25,7.0,7.0,10.0,10.0,0.12,78.75,Green
China,yunnan,1850,1850,1850,2013,adam ciruli ye,Arabica,Typica,Washed / Wet,1,2.0,7.0,6.92,6.83,7.17,7.17,7.17,10.0,9.33,0.0,78.67,Green
China,yunnan,1200,1200,1200,2013,samuel eli gurel,Arabica,Typica,Washed / Wet,16,2.0,7.33,7.17,6.92,7.08,7.33,7.0,9.33,9.33,0.1,78.0,Green
Guatemala,oriente,1310,1310,1310,2013,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,69.0,7.0,6.83,6.83,7.17,6.67,6.83,10.0,10.0,0.11,78.0,Green
Guatemala,oriente,1310,1310,1310,2013,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,1.0,7.0,6.83,6.67,7.17,6.83,6.83,10.0,10.0,0.11,77.83,Green
Guatemala,oriente,1310,1310,1310,2013,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,1.0,7.08,6.92,6.33,7.0,6.92,7.0,10.0,10.0,0.11,77.42,Green
Haiti,"dondon, haiti",400,1250,825,2013,myriam kaplan-pasternak,Arabica,Typica,Washed / Wet,1,1.814368,6.83,6.83,6.83,6.75,6.92,6.92,9.33,10.0,0.1,77.25,Unknown
Mexico,chiapas,1700,1700,1700,2013,nestor mendez gomez,Arabica,Typica,Washed / Wet,275,1.0,7.08,7.0,6.83,7.5,7.33,6.83,8.0,10.0,0.12,74.67,Green
Guatemala,oriente,1310,1310,1310,2013,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,69.0,6.5,6.33,6.5,7.5,7.33,6.83,8.67,8.67,0.11,74.33,Green
Costa Rica,san ramon,1300,1300,1300,2014,the coffee source inc.,Arabica,Caturra,Washed / Wet,250,1.360776,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,0.11,87.17,Green
Panama,boquete,1680,1680,1680,2014,essencecoffee,Arabica,Caturra,Natural / Dry,100,60.0,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,0.09,85.5,Unknown
Costa Rica,west valley,1300,1300,1300,2014,the coffee source inc.,Arabica,Caturra,Washed / Wet,250,1.360776,7.92,8.08,8.0,7.92,8.0,8.08,10.0,9.33,0.0,85.33,Bluish-Green
Costa Rica,san ramon,1300,1300,1300,2014,the coffee source inc.,Arabica,Caturra,Washed / Wet,250,1.360776,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,0.1,85.33,Bluish-Green
